medication,species,label_status,condition_keywords,indication,guardrail
"Ilunocitinib (Zenrelia)","dog","FDA-approved veterinary label","itching;pruritus;allergic dermatitis;atopic dermatitis;allergies","Zenrelia is labeled for the control of pruritus associated with allergic dermatitis and the control of atopic dermatitis in dogs.","Confirm suitability with your veterinarian, including screening for infection risk before starting."
"Famotidine (Pepcid)","dog;cat","Extra-label (human-labeled drug) used under veterinary direction","acid reflux;stomach upset;vomiting;gastritis;ulcer","Famotidine is commonly used under veterinary direction to reduce stomach acid production for gastritis, acid reflux, and mild GI upset in dogs and cats, though it is labeled for human use, not for animals.","Confirm dosing with your veterinarian, especially alongside other GI medications."
"Omeprazole","dog;cat;horse","Extra-label in dogs and cats; FDA-approved veterinary label in horses (GastroGard/Ulcergard)","gastric ulcer;acid reflux;stomach upset;gastritis","Omeprazole (GastroGard/Ulcergard) is labeled for treatment and prevention of gastric ulcers in horses; in dogs and cats it is commonly used under veterinary direction to reduce stomach acid for similar conditions.","Confirm dosing and species-specific product with your veterinarian."
"Metronidazole","dog;cat","FDA-approved veterinary label","diarrhea;giardia;gi infection;colitis;intestinal infection","Metronidazole is labeled for the treatment of GI infections caused by susceptible anaerobic bacteria and protozoa such as Giardia, in dogs and cats.","Complete the full course as directed; confirm dosing with your veterinarian."
"Maropitant (Cerenia)","dog;cat","FDA-approved veterinary label","vomiting;nausea;motion sickness","Cerenia (maropitant) is labeled for the prevention and treatment of vomiting, and, in dogs, for control of visceral pain.","Confirm dosing with your veterinarian; not labeled for animals younger than the label's minimum age."
"Sucralfate","dog;cat","Extra-label (human-labeled drug) used under veterinary direction","gastric ulcer;gi ulcer;stomach ulcer;gastritis","Sucralfate is commonly used under veterinary direction to coat and protect GI ulcers in dogs and cats, though it is labeled for human use, not for animals.","Give separately from other oral medications, as directed by your veterinarian, since it can interfere with their absorption."
"Furosemide (Lasix)","dog;cat","FDA-approved veterinary label","congestive heart failure;fluid buildup;edema;pulmonary edema","Furosemide is labeled for the management of fluid buildup, or edema, associated with congestive heart failure in dogs and cats.","Requires monitoring of kidney values and electrolytes; confirm dosing with your veterinarian."
"Enalapril","dog;cat","FDA-approved veterinary label","congestive heart failure;heart disease;hypertension","Enalapril is labeled for the management of signs of congestive heart failure in dogs and cats.","Requires monitoring of kidney values and blood pressure; confirm dosing with your veterinarian."
"Pimobendan (Vetmedin)","dog","FDA-approved veterinary label","congestive heart failure;dilated cardiomyopathy;heart valve disease","Vetmedin (pimobendan) is labeled for the management of congestive heart failure in dogs caused by dilated cardiomyopathy or valvular heart disease.","Confirm dosing and cardiac diagnosis with your veterinarian, ideally alongside an echocardiogram."
"Spironolactone","dog;cat","Extra-label (human-labeled drug) used under veterinary direction","congestive heart failure;fluid buildup;edema","Spironolactone is commonly used under veterinary direction as an add-on diuretic for management of congestive heart failure in dogs and cats, though it is labeled for human use, not for animals.","Requires monitoring of electrolytes; confirm dosing with your veterinarian."
"Phenobarbital","dog;cat","FDA-approved veterinary label","seizures;epilepsy;convulsions","Phenobarbital is labeled for the control of seizures in dogs and cats.","Requires periodic bloodwork to monitor liver function and drug levels; confirm dosing with your veterinarian."
"Levetiracetam (Keppra)","dog;cat","Extra-label (human-labeled drug) used under veterinary direction","seizures;epilepsy;convulsions","Levetiracetam is commonly used under veterinary direction as an anticonvulsant for seizure control in dogs and cats, though it is labeled for human use, not for animals.","Often used alongside other anticonvulsants; confirm dosing with your veterinarian."
"Potassium Bromide","dog","Extra-label (compounded) drug used under veterinary direction","seizures;epilepsy;convulsions","Potassium bromide is commonly used, often compounded, as an add-on anticonvulsant for seizure control in dogs, typically alongside phenobarbital.","Requires periodic bloodwork to monitor drug levels; confirm dosing with your veterinarian; use with caution in dogs with kidney disease."
"Amoxicillin","dog;cat","FDA-approved veterinary label","bacterial infection;skin infection;urinary tract infection;wound infection","Amoxicillin is labeled for the treatment of susceptible bacterial infections, including skin, soft tissue, and urinary tract infections, in dogs and cats.","Complete the full course as directed; confirm dosing with your veterinarian."
"Amoxicillin/Clavulanate (Clavamox)","dog;cat","FDA-approved veterinary label","bacterial infection;skin infection;urinary tract infection;wound infection;dental infection","Clavamox is labeled for the treatment of skin and soft tissue infections and other susceptible bacterial infections, including those caused by beta-lactamase producing bacteria, in dogs and cats.","Complete the full course as directed; confirm dosing with your veterinarian."
"Doxycycline","dog;cat","FDA-approved veterinary label","tick borne disease;lyme disease;ehrlichia;bacterial infection;respiratory infection","Doxycycline is labeled and commonly used for the treatment of susceptible bacterial infections, including tick-borne diseases such as Lyme disease and ehrlichiosis, in dogs and cats.","Complete the full course as directed; confirm dosing with your veterinarian; give with food to reduce GI upset."
"Clindamycin","dog;cat","FDA-approved veterinary label","skin infection;dental infection;bone infection;osteomyelitis;bacterial infection","Clindamycin is labeled for the treatment of skin and soft tissue infections, dental and periodontal infections, and bone infections caused by susceptible bacteria, in dogs and cats.","Complete the full course as directed; confirm dosing with your veterinarian."
"Enrofloxacin (Baytril)","dog;cat","FDA-approved veterinary label","urinary tract infection;skin infection;respiratory infection;bacterial infection","Enrofloxacin (Baytril) is labeled for the treatment of susceptible bacterial infections, including urinary tract, skin, and respiratory infections, in dogs and cats.","Not labeled for young, growing animals due to joint cartilage risk; confirm dosing with your veterinarian."
"Heartgard Plus","dog","FDA-approved veterinary label","heartworm;heartworm prevention;roundworms;hookworms;intestinal parasites","Heartgard Plus is labeled for the prevention of heartworm disease and the treatment and control of roundworm and hookworm infections in dogs.","Confirm dosing by weight with your veterinarian; monthly prevention should not be missed or delayed."
"NexGard (afoxolaner)","dog","FDA-approved veterinary label","flea;tick;flea infestation;tick infestation;flea and tick prevention","NexGard is labeled for the treatment and prevention of flea infestations and the treatment and control of tick infestations in dogs.","Confirm dosing by weight with your veterinarian."
"Bravecto (fluralaner)","dog;cat","FDA-approved veterinary label","flea;tick;flea infestation;tick infestation;flea and tick prevention","Bravecto is labeled for the treatment and prevention of flea infestations and the treatment and control of tick infestations in dogs and cats, with extended dosing intervals.","Confirm dosing by weight and species-specific product with your veterinarian."
"Drontal Plus","dog","FDA-approved veterinary label","tapeworm;roundworm;hookworm;tapeworms;roundworms;hookworms;intestinal parasites;deworming","Drontal Plus is labeled for the treatment and control of tapeworm, roundworm, and hookworm infections in dogs.","Confirm dosing by weight with your veterinarian."
"Trazodone","dog","Extra-label (human-labeled drug) used under veterinary direction","situational anxiety;travel anxiety;post surgical stress;fear;noise phobia","Trazodone is commonly used under veterinary direction for situational anxiety, such as travel, vet visits, or post-surgical confinement, in dogs, though it is labeled for human use, not for animals.","Often used alongside behavior modification; confirm dosing with your veterinarian."
"Fluoxetine (Reconcile)","dog","FDA-approved veterinary label","separation anxiety;anxiety;compulsive behavior","Reconcile (fluoxetine) is labeled for the treatment of separation anxiety in dogs, in conjunction with a behavior modification plan.","Effects build over several weeks; confirm dosing with your veterinarian."
"Clomipramine (Clomicalm)","dog","FDA-approved veterinary label","separation anxiety;anxiety;compulsive behavior","Clomicalm (clomipramine) is labeled for the treatment of separation anxiety in dogs, used together with a behavior modification plan.","Effects build over several weeks; confirm dosing with your veterinarian."
"Methimazole","cat","FDA-approved veterinary label","hyperthyroidism;overactive thyroid;thyroid","Methimazole is labeled for the treatment of hyperthyroidism in cats.","Requires periodic bloodwork to monitor thyroid levels and blood counts; confirm dosing with your veterinarian."
"Trilostane (Vetoryl)","dog","FDA-approved veterinary label","cushings disease;cushing;hyperadrenocorticism","Vetoryl (trilostane) is labeled for the treatment of pituitary-dependent and adrenal-dependent hyperadrenocorticism, also known as Cushing's disease, in dogs.","Requires periodic bloodwork, such as ACTH stimulation testing, to monitor adrenal response; confirm dosing with your veterinarian."
"Insulin (Vetsulin)","dog;cat","FDA-approved veterinary label","diabetes;diabetes mellitus;high blood sugar","Vetsulin is labeled for the control of blood glucose levels in dogs and cats with diabetes mellitus.","Requires careful weight-based dosing and monitoring for hypoglycemia; confirm dosing with your veterinarian."
